HITId,tweet,sentiment,directness,annotator_sentiment,target,group
0,If America had another 8 years of Obama's ideology via Hillary we'd be well on our way to being a shithole country.,fearful_abusive_hateful_disrespectful_normal,indirect,anger_fear_shock_sadness_disgust,origin,other
1,Most Canadians have never met seen or associated with a person who are currently labelled as \retarded\ . I plan t\u2026 @URL,offensive,indirect,sadness_indifference,disability,special_needs
2,Hahaha grow up faggot @URL,offensive,indirect,shock_disgust,sexual_orientation,women
3,@user queue is fucking retarded it makes everyone feel like they don't even have a chance make it fcfs again for fucksake,offensive_hateful,direct,shock_disgust,disability,special_needs
4,@user Que ce ne soit pas des Burundais refugies Alerte car leur corps sont visibles a loeil nu,hateful_normal,indirect,shock_disgust,origin,other
5,dude i\u2019m so tired of being retarded,offensive,indirect,anger_sadness,disability,special_needs
6,Pretty sure if an employee of Philip Green called him a 'balding racist sexist twat' it would be perceived as dismi\u2026 @URL,offensive,indirect,anger_sadness,other,other
7,@user @user Btw. Are we now allowed to say \shithole\ countries? Are we also allowed to say how wes\u2026 @URL,normal,indirect,anger_sadness,origin,other
8,This bitch Is retarded \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 I hate her @URL,offensive,indirect,anger_sadness,disability,women
9,@user Still a bitter cunt. Why so much interest in arsenal? He isn't the only player to player fod us and get sold.,abusive_hateful,indirect,anger_sadness,gender,women
10,@user @user To losely quote Trump/Trumpers. We dont need immigrants - from Vietnam in this country.… @URL,offensive,indirect,anger_sadness,origin,immigrants
11,children = 52% of refugees,fearful_abusive_hateful_normal,indirect,anger_sadness,gender,refugees
12,It doesn’t right? He a negro by default,fearful_offensive_disrespectful_hateful_normal,indirect,confusion_sadness_shock_indifference_disgust,origin,african_descent
13,absolute mongoloid gtfo LMAOOO @URL,offensive,indirect,confusion_sadness_shock_indifference_disgust,disability,special_needs
14,Many MDSZ's classical and golden scenes will be CUT just because of the stupid retarded and shitty idea of going a\u2026 @URL,offensive_normal,indirect,confusion_sadness_shock_indifference_disgust,disability,special_needs
15,@user @user What the fuck suicide is male prostitute rubbish chinaman lee hsien loong imagining h\u2026 @URL,offensive,indirect,confusion_sadness_shock_indifference_disgust,origin,muslims
16,@user Are you okay with giving benefits to illegal aliens? Ary okay with them working here illegally? Ar… @URL,hateful,indirect,anger_sadness,origin,immigrants
17,this mongoloid literally said the wrong place 15 times. @URL,offensive,indirect,anger_sadness,origin,special_needs
18,Everything is better. When her cunt is alive..,offensive,indirect,anger_sadness,gender,women
19,@user Unaccounted illegal aliens are happy. Tufail is one,offensive,indirect,anger_sadness,origin,immigrants
